,cve,epss,date
390,CVE-2025-10137,0.00078,2025-11-13
391,CVE-2025-10147,0.00184,2025-11-13
392,CVE-2025-10412,0.00215,2025-11-13
393,CVE-2025-59834,0.00959,2025-11-13
394,CVE-2025-6921,0.00073,2025-11-13
395,CVE-2025-7045,0.00384,2025-11-13
396,CVE-2025-8268,0.00115,2025-11-13
397,CVE-2025-9054,0.0014,2025-11-13
398,CVE-2025-9321,0.00107,2025-11-13
399,CVE-2025-9816,0.00177,2025-11-13
400,CVE-2025-10137,0.00078,2025-11-14
401,CVE-2025-10147,0.00184,2025-11-14
402,CVE-2025-10412,0.00215,2025-11-14
403,CVE-2025-59834,0.00959,2025-11-14
404,CVE-2025-6921,0.00073,2025-11-14
405,CVE-2025-7045,0.00384,2025-11-14
406,CVE-2025-8268,0.00115,2025-11-14
407,CVE-2025-9054,0.0014,2025-11-14
408,CVE-2025-9321,0.00107,2025-11-14
409,CVE-2025-9816,0.00177,2025-11-14
410,CVE-2025-10137,0.00078,2025-11-15
411,CVE-2025-10147,0.00184,2025-11-15
412,CVE-2025-10412,0.00215,2025-11-15
413,CVE-2025-59834,0.00959,2025-11-15
414,CVE-2025-6921,0.00073,2025-11-15
415,CVE-2025-7045,0.00384,2025-11-15
416,CVE-2025-8268,0.00115,2025-11-15
417,CVE-2025-9054,0.0014,2025-11-15
418,CVE-2025-9321,0.00107,2025-11-15
419,CVE-2025-9816,0.00177,2025-11-15
420,CVE-2025-10137,0.00078,2025-11-16
421,CVE-2025-10147,0.00184,2025-11-16
422,CVE-2025-10412,0.00215,2025-11-16
423,CVE-2025-59834,0.00959,2025-11-16
424,CVE-2025-6921,0.00073,2025-11-16
425,CVE-2025-7045,0.00384,2025-11-16
426,CVE-2025-8268,0.00115,2025-11-16
427,CVE-2025-9054,0.0014,2025-11-16
428,CVE-2025-9321,0.00107,2025-11-16
429,CVE-2025-9816,0.00177,2025-11-16
430,CVE-2025-10137,0.00078,2025-11-17
431,CVE-2025-10147,0.00184,2025-11-17
432,CVE-2025-10412,0.00215,2025-11-17
433,CVE-2025-59834,0.00959,2025-11-17
434,CVE-2025-6921,0.00073,2025-11-17
435,CVE-2025-7045,0.00384,2025-11-17
436,CVE-2025-8268,0.00115,2025-11-17
437,CVE-2025-9054,0.0014,2025-11-17
438,CVE-2025-9321,0.00107,2025-11-17
439,CVE-2025-9816,0.00177,2025-11-17
440,CVE-2025-10137,0.00058,2025-11-18
441,CVE-2025-10147,0.00184,2025-11-18
442,CVE-2025-10412,0.00215,2025-11-18
443,CVE-2025-59834,0.00959,2025-11-18
444,CVE-2025-6921,0.00073,2025-11-18
445,CVE-2025-7045,0.00286,2025-11-18
446,CVE-2025-8268,0.00086,2025-11-18
447,CVE-2025-9054,0.00105,2025-11-18
448,CVE-2025-9321,0.00107,2025-11-18
449,CVE-2025-9816,0.00132,2025-11-18
450,CVE-2025-10137,0.00058,2025-11-19
451,CVE-2025-10147,0.00184,2025-11-19
452,CVE-2025-10412,0.00215,2025-11-19
453,CVE-2025-59834,0.00959,2025-11-19
454,CVE-2025-6921,0.00073,2025-11-19
455,CVE-2025-7045,0.00286,2025-11-19
456,CVE-2025-8268,0.00086,2025-11-19
457,CVE-2025-9054,0.00105,2025-11-19
458,CVE-2025-9321,0.00107,2025-11-19
459,CVE-2025-9816,0.00132,2025-11-19
460,CVE-2025-10137,0.00058,2025-11-20
461,CVE-2025-10147,0.00184,2025-11-20
462,CVE-2025-10412,0.00215,2025-11-20
463,CVE-2025-59834,0.00959,2025-11-20
464,CVE-2025-6921,0.00073,2025-11-20
465,CVE-2025-7045,0.00286,2025-11-20
466,CVE-2025-8268,0.00086,2025-11-20
467,CVE-2025-9054,0.00105,2025-11-20
468,CVE-2025-9321,0.00107,2025-11-20
469,CVE-2025-9816,0.00132,2025-11-20
470,CVE-2025-10137,0.00078,2025-11-21
471,CVE-2025-10147,0.00184,2025-11-21
472,CVE-2025-10412,0.00215,2025-11-21
473,CVE-2025-59834,0.00959,2025-11-21
474,CVE-2025-6921,0.00073,2025-11-21
475,CVE-2025-7045,0.00384,2025-11-21
476,CVE-2025-8268,0.00115,2025-11-21
477,CVE-2025-9054,0.0014,2025-11-21
478,CVE-2025-9321,0.00107,2025-11-21
479,CVE-2025-9816,0.00177,2025-11-21
480,CVE-2025-10137,0.00078,2025-11-22
481,CVE-2025-10147,0.00184,2025-11-22
482,CVE-2025-10412,0.00215,2025-11-22
483,CVE-2025-59834,0.00959,2025-11-22
484,CVE-2025-6921,0.00073,2025-11-22
485,CVE-2025-7045,0.00384,2025-11-22
486,CVE-2025-8268,0.00115,2025-11-22
487,CVE-2025-9054,0.0014,2025-11-22
488,CVE-2025-9321,0.00107,2025-11-22
489,CVE-2025-9816,0.00177,2025-11-22
490,CVE-2025-10137,0.00078,2025-11-23
491,CVE-2025-10147,0.00184,2025-11-23
492,CVE-2025-10412,0.00215,2025-11-23
493,CVE-2025-59834,0.00959,2025-11-23
494,CVE-2025-6921,0.00073,2025-11-23
495,CVE-2025-7045,0.00384,2025-11-23
496,CVE-2025-8268,0.00115,2025-11-23
497,CVE-2025-9054,0.0014,2025-11-23
498,CVE-2025-9321,0.00107,2025-11-23
499,CVE-2025-9816,0.00177,2025-11-23
500,CVE-2025-10137,0.00078,2025-11-24
501,CVE-2025-10147,0.00184,2025-11-24
502,CVE-2025-10412,0.00215,2025-11-24
503,CVE-2025-59834,0.00959,2025-11-24
504,CVE-2025-6921,0.00073,2025-11-24
505,CVE-2025-7045,0.00384,2025-11-24
506,CVE-2025-8268,0.00115,2025-11-24
507,CVE-2025-9054,0.0014,2025-11-24
508,CVE-2025-9321,0.00107,2025-11-24
509,CVE-2025-9816,0.00177,2025-11-24
510,CVE-2025-10137,0.00078,2025-11-25
511,CVE-2025-10147,0.00184,2025-11-25
512,CVE-2025-10412,0.00215,2025-11-25
513,CVE-2025-59834,0.00959,2025-11-25
514,CVE-2025-6921,0.00073,2025-11-25
515,CVE-2025-7045,0.00384,2025-11-25
516,CVE-2025-8268,0.00115,2025-11-25
517,CVE-2025-9054,0.0014,2025-11-25
518,CVE-2025-9321,0.00107,2025-11-25
519,CVE-2025-9816,0.00177,2025-11-25
520,CVE-2025-10137,0.00078,2025-11-26
521,CVE-2025-10147,0.00184,2025-11-26
522,CVE-2025-10412,0.00215,2025-11-26
523,CVE-2025-59834,0.00959,2025-11-26
524,CVE-2025-6921,0.00073,2025-11-26
525,CVE-2025-7045,0.00384,2025-11-26
526,CVE-2025-8268,0.00115,2025-11-26
527,CVE-2025-9054,0.0014,2025-11-26
528,CVE-2025-9321,0.00107,2025-11-26
529,CVE-2025-9816,0.00177,2025-11-26
530,CVE-2025-10137,0.00078,2025-11-27
531,CVE-2025-10147,0.00184,2025-11-27
532,CVE-2025-10412,0.00215,2025-11-27
533,CVE-2025-59834,0.00959,2025-11-27
534,CVE-2025-6921,0.00073,2025-11-27
535,CVE-2025-7045,0.00384,2025-11-27
536,CVE-2025-8268,0.00115,2025-11-27
537,CVE-2025-9054,0.0014,2025-11-27
538,CVE-2025-9321,0.00107,2025-11-27
539,CVE-2025-9816,0.00177,2025-11-27
540,CVE-2025-10137,0.00078,2025-11-28
541,CVE-2025-10147,0.00184,2025-11-28
542,CVE-2025-10412,0.00215,2025-11-28
543,CVE-2025-59834,0.00959,2025-11-28
544,CVE-2025-6921,0.00073,2025-11-28
545,CVE-2025-7045,0.00384,2025-11-28
546,CVE-2025-8268,0.00115,2025-11-28
547,CVE-2025-9054,0.0014,2025-11-28
548,CVE-2025-9321,0.00107,2025-11-28
549,CVE-2025-9816,0.00177,2025-11-28
550,CVE-2025-10137,0.00078,2025-11-29
551,CVE-2025-10147,0.00184,2025-11-29
552,CVE-2025-10412,0.00215,2025-11-29
553,CVE-2025-59834,0.00959,2025-11-29
554,CVE-2025-6921,0.00073,2025-11-29
555,CVE-2025-7045,0.00384,2025-11-29
556,CVE-2025-8268,0.00115,2025-11-29
557,CVE-2025-9054,0.0014,2025-11-29
558,CVE-2025-9321,0.00107,2025-11-29
559,CVE-2025-9816,0.00177,2025-11-29
560,CVE-2025-10137,0.00078,2025-11-30
561,CVE-2025-10147,0.00192,2025-11-30
562,CVE-2025-10412,0.00224,2025-11-30
563,CVE-2025-59834,0.00959,2025-11-30
564,CVE-2025-6921,0.00076,2025-11-30
565,CVE-2025-7045,0.00384,2025-11-30
566,CVE-2025-8268,0.00115,2025-11-30
567,CVE-2025-9054,0.0014,2025-11-30
568,CVE-2025-9321,0.00112,2025-11-30
569,CVE-2025-9816,0.00177,2025-11-30
570,CVE-2025-10137,0.00078,2025-12-01
571,CVE-2025-10147,0.00192,2025-12-01
572,CVE-2025-10412,0.00224,2025-12-01
573,CVE-2025-59834,0.00959,2025-12-01
574,CVE-2025-6921,0.00076,2025-12-01
575,CVE-2025-7045,0.00384,2025-12-01
576,CVE-2025-8268,0.00115,2025-12-01
577,CVE-2025-9054,0.00147,2025-12-01
578,CVE-2025-9321,0.00112,2025-12-01
579,CVE-2025-9816,0.00141,2025-12-01
580,CVE-2025-10137,0.00078,2025-12-02
